2021-01-25 23:47:50,567 | INFO  | PListStore:[C:\GIT\GitHub\MyAluraProgress\JMS e ActiveMQ - Mensageria com Java\apache-activemq-5.12.0\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2021-01-25 23:47:50,584 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\GIT\GitHub\MyAluraProgress\JMS e ActiveMQ - Mensageria com Java\apache-activemq-5.12.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-25 23:47:50,827 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2021-01-25 23:47:50,874 | INFO  | Recovering from the journal @1:504 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2021-01-25 23:47:50,876 | INFO  | Recovery replayed 7 operations from the journal in 0.045 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2021-01-25 23:47:51,011 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:GuiDB-58130-1611625670893-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-25 23:47:51,026 | INFO  | Listening for connections at: tcp://GuiDB:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:47:51,027 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:47:51,031 | INFO  | Listening for connections at: amqp://GuiDB:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:47:51,031 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:47:51,034 | INFO  | Listening for connections at: stomp://GuiDB:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:47:51,034 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:47:51,037 | INFO  | Listening for connections at: mqtt://GuiDB:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:47:51,046 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:47:51,159 | INFO  | Listening for connections at ws://GuiDB:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2021-01-25 23:47:51,159 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:47:51,161 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:GuiDB-58130-1611625670893-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-25 23:47:51,161 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-25 23:47:51,477 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2021-01-25 23:47:51,478 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2021-01-25 23:47:51,556 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2021-01-25 23:47:52,117 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | WrapperSimpleAppMain
2021-01-25 23:50:58,203 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:GuiDB-58130-1611625670893-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2021-01-25 23:50:58,205 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-01-25 23:50:58,205 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-01-25 23:50:58,206 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-01-25 23:50:58,206 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-01-25 23:50:58,285 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-01-25 23:50:58,288 | INFO  | PListStore:[C:\GIT\GitHub\MyAluraProgress\JMS e ActiveMQ - Mensageria com Java\apache-activemq-5.12.0\bin\win64\..\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2021-01-25 23:50:58,288 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2021-01-25 23:50:58,288 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2021-01-25 23:50:58,288 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2021-01-25 23:50:58,812 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:GuiDB-58130-1611625670893-0:1) uptime 3 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2021-01-25 23:50:58,813 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:GuiDB-58130-1611625670893-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2021-01-25 23:50:58,813 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@46085dda: startup date [Mon Jan 25 23:47:49 BRST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2021-01-25 23:50:58,900 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2021-01-25 23:51:04,617 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@46085dda: startup date [Mon Jan 25 23:51:04 BRST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
